NDB No	Nutr_No	Nutr_Val	Num_Data_Pts	CC
9209	450	2.2	2	
9214	450	8.1	1	
9218	450	5.2	1	
9236	450	0.8	1	
9252	450	2.2	3	
9257	450	0.6	1	
9291	450	6.7	2	
9298	450	9.4	2	
9302	450	3.1	1	
9316	450	0.6	1	
9326	450	3.1	1	
9370	450	0.4	1	
9421	450	8.9	1	
9429	450	5.1	1	
9430	450	4.2	1	
9433	450	11	1	
9434	450	0.8	1	
9435	450	0.5	1	
9436	450	1	1	
9437	450	0.3	1	
10006	450	1.5	4	
10007	450	1.6	4	
10060	450	1.6	4	
10061	450	1.8	4	
10066	450	1.2	4	
10068	450	1.1	4	
10084	450	5.4	4	
10085	450	5.5	4	
10123	450	4.4	4	
10219	450	3.1	4	
10220	450	3	4	
10860	450	12	4	
10861	450	12	4	
10862	450	12	4	
10864	450	0.2	1	
10865	450	2	1	
10867	450	2.7	2	
10868	450	2	4	
10869	450	2.2	2	
10870	450	2.2	2	
10871	450	2.8	2	
10872	450	1.3	2	
10873	450	1.7	2	
10874	450	2.2	2	
10875	450	2	1	
10876	450	0.6	1	
10877	450	1.8	2	
10878	450	1.6	4	
10879	450	1.2	4	
10880	450	1.5	4	
10881	450	2.2	2	
10882	450	1.5	4	
10883	450	2	3	
10884	450	1.5	4	
10894	450	0.8	1	
10895	450	0.4	1	
10898	450	1.2	1	
10899	450	1.3	3	
10931	450	1.6	3	
10932	450	1.3	3	
10933	450	1.2	3	
10934	450	1.1	3	
10938	450	1.1	3	
11001	450	11	1	
11008	450	4.2	1	
11011	450	12	1	
11012	450	6.6	1	
11061	450	4	1	
11080	450	4.1	1	
11084	450	0.3	2	
11090	450	18	2	
11091	450	8.5	1	
11096	450	12	2	
11097	450	4.3	5	
11099	450	23	1	
11109	450	6.1	1	
11110	450	7.6	1	
11112	450	9.7	1	
11113	450	5	1	
11124	450	6.8	1	
11125	450	0.4	1	
11136	450	25	1	
11143	450	5.3	2	
11179	450	8.9	1	
11205	450	4	1	
11206	450	3.5	1	
11211	450	9.2	1	
11212	450	6.9	1	
11234	450	0.1	1	
11250	450	5.9	2	
11251	450	7.6	3	
11252	450	4.8	2	
11257	450	7.9	1	
11260	450	5.9	1	
11282	450	4.4	1	
11286	450	3.4	1	
11294	450	3.7	2	
11313	450	2.2	1	
11333	450	3.6	1	
11339	450	0.4	1	
11353	450	10	1	
11354	450	7.9	2	
11355	450	9.7	3	
11356	450	8.1	3	
11357	450	6.8	2	
11358	450	8.5	2	
11402	450	15	2	
11403	450	14	3	
11429	450	4.8	2	
11439	450	8.7	2	
11463	450	2.3	3	
11464	450	1.7	2	
11478	450	0.5	1	
11508	450	0.9	2	
11529	450	4.4	2	
11546	450	26	1	
11549	450	6.5	1	
11644	450	2.1	1	
11657	450	8.4	1	
11821	450	4	1	
11921	450	1.2	1	
11935	450	7.5	2	
11937	450	0.9	1	
11940	450	0.9	1	
11960	450	5.4	1	
12036	450	18	2	
12061	450	9.4	5	
12078	450	16	2	
12109	450	9.7	1	
12118	450	5.1	1	
12120	450	15	5	
12142	450	9.7	5	
12147	450	8.4	5	
12154	450	8.3	1	
12155	450	7.3	5	
12201	450	9.6	1	
12220	450	39	1	
12516	450	40	1	
12586	450	20	5	
12632	450	11	5	
12652	450	11	8	
12663	450	13	1	
13325	450	56	4	
13326	450	62	4	
13327	450	57	4	
13497	450	2.3	1	
13498	450	2.6	1	
14003	450	5.7	2	
14006	450	5.5	2	
14096	450	4.5	1	
14106	450	3.4	2	
14150	450	0	1	
14209	450	1.9	3	
14218	450	94	1	
14242	450	0.4	1	
14287	450	0.1	1	
14292	450	0.4	1	
14347	450	3.9	2	
14400	450	0	4	
14416	450	0	2	
14542	450	0.4	1	
15016	450	18	1	
15027	450	7.7	5	
15073	450	14	2	
15086	450	8.6	1	
15087	450	4	3	
15121	450	2.1	1	
15138	450	0.8	1	
15141	450	0.1	1	
15152	450	1.5	2	
15232	450	18	2	
15236	450	9.9	1	
15237	450	7.8	1	
15260	450	4.3	4	
15261	450	8.1	3	
15262	450	21	1	
16006	450	17	1	
16010	450	13	1	
16011	450	25	2	
16034	450	17	2	
16037	450	50	1	
16038	450	21	1	
16039	450	14	2	
16042	450	32	1	
16043	450	11	4	
16087	450	18	4	
16097	450	25	3	
16098	450	26	2	
16108	450	47	2	
16117	450	120	2	
16120	450	13	1	
16123	450	18	1	
16126	450	8.3	1	
16127	450	9.7	1	
16147	450	13	2	
16399	450	39	1	
17202	450	85	2	
17203	450	89	2	
17204	450	93	2	
18001	450	7.7	2	
18002	450	8.6	2	
18009	450	6.9	1	
18012	450	16	1	
18013	450	17	1	
18029	450	6.9	1	
18030	450	8.8	1	
18064	450	12	1	
18065	450	14	1	
18069	450	8.6	2	
18075	450	18	2	
18101	450	5.4	1	
18141	450	4.6	1	
18159	450	8.9	1	
18173	450	13	5	
18215	450	11	1	
18228	450	13	1	
18229	450	8.2	1	
18232	450	19	6	
18246	450	8.7	4	
18248	450	4.9	1	
18249	450	5.4	1	
18258	450	5.2	1	
18259	450	6.4	1	
18262	450	4.9	1	
18263	450	6.3	1	
18273	450	15	1	
18274	450	3.9	1	
18288	450	3.5	1	
18290	450	5.5	1	
18301	450	4.7	1	
18360	450	8.1	1	
18363	450	4.1	1	
18364	450	4.6	1	
18375	450	6.1	1	
18452	450	5	1	
18488	450	4	1	
18489	450	3.6	1	
18927	450	6.7	1	
18936	450	4.1	2	
18939	450	4.5	1	
19003	450	1.9	1	
19008	450	3.8	2	
19015	450	4.2	1	
19034	450	7.2	1	
19035	450	5.6	2	
19047	450	16	2	
19056	450	4.2	1	
19057	450	4.5	1	
19058	450	4.2	1	
19076	450	6.2	1	
19078	450	34	1	
19095	450	4.8	1	
19120	450	9.1	1	
19141	450	9.1	2	
19183	450	4.3	2	
19226	450	5.6	1	
19230	450	0.8	1	
19270	450	5.1	1	
19296	450	1.2	1	
19297	450	2.6	3	
19304	450	10	1	
19334	450	2.2	2	
19404	450	7.1	1	
19411	450	4.6	1	
19444	450	4.6	1	
20001	450	37	1	
20009	450	32	1	
20010	450	11	1	
20013	450	2.7	1	
20015	450	15	1	
